date,value
6/22/82,21.5
7/24/73,21.5
7/24/73,21.5
7/26/73,21.5
7/26/73,21.5
7/25/73,21.5
7/24/73,21.5
7/24/73,21.5
7/25/73,21.5
7/24/73,21.5
7/26/73,21.5
7/24/73,21.5
6/22/82,21.5
7/29/82,21.5
7/24/73,21.5
7/24/73,21.5
7/24/73,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/24/73,21.5
7/26/73,21.6
8/28/91,21.6
7/26/73,21.6
7/21/09,21.7
8/2/99,21.7
9/24/82,21.7
7/24/73,21.7
7/25/73,21.8
7/25/73,21.8
7/25/73,21.8
9/24/82,21.8
7/26/73,21.8
7/25/73,21.8
7/29/82,21.8
6/6/78,21.8
8/7/74,21.8
7/25/73,21.8
9/24/82,21.8
7/24/73,21.8
8/7/74,21.8
7/25/73,21.8
7/26/73,21.8
7/24/73,21.8
7/25/73,21.8
7/25/73,21.8
7/16/91,21.8
7/26/73,21.8
7/25/73,21.8
8/17/10,21.9
8/19/13,21.9
7/21/82,21.9
7/24/73,21.9
7/20/82,21.9
8/20/82,21.9
8/5/82,21.9
7/24/73,21.9
7/24/73,21.9
2/25/03,2.2
11/24/82,2.2
8/7/74,22
8/7/74,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
8/6/74,22
7/24/73,22
7/24/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/24/73,22
8/6/74,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
6/22/82,22
7/7/92,22
7/26/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/26/73,22
7/26/73,22
7/25/73,22
7/25/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
